"","X","Advertiser","Expt","m","s","coefvar","cost","n1","n2"
"1",1,1,1.1,9.49,94.28,9.934668072,0.16,1257756,300000
"2",2,1,1.2,10.5,111.15,10.58571429,0.06,1257756,300000
"3",3,1,1.3,4.86,69.89,14.38065844,0.09,1257756,300000
"4",4,1,1.4,125.74,490.28,3.899156991,0.34,957706,300000
"5",5,1,1.5,11.47,111.37,9.709677419,0.04,2535491,300000
"6",6,1,1.6,17.62,132.15,7.5,0.12,2175855,300000
"7",7,2,2.1,30.77,147.37,4.789405265,0.09,NA,1087924
"8",8,2,2.2,30.77,147.37,4.789405265,0.08,NA,1212042
"9",9,2,2.3,30.77,147.37,4.789405265,0.09,NA,NA
"10",10,3,3.1,1.27,18.46,14.53543307,0.04,NA,NA
"11",11,3,3.2,1.08,14.73,13.63888889,0.04,NA,NA
"12",12,3,3.3,1.89,18.89,9.994708995,0.09,NA,NA
"13",13,3,3.4,1.29,16.27,12.6124031,0.06,NA,NA
"14",14,3,3.5,1.75,18.6,10.62857143,0.07,NA,NA
"15",15,3,3.6,2.64,21.6,8.181818182,0.08,NA,NA
"16",16,3,3.7,0.59,9.77,16.55932203,0.11,NA,NA
"17",17,4,4.1,0.56,12.65,22.58928571,0.13,NA,NA
"18",18,5,5.1,54.77,170.41,3.11137484,0.11,NA,NA
"19",19,5,5.1,8.48,70.2,8.278301887,0.39,NA,NA
